cat_id,job_id,title,date,brand,location,url,close
391,25386102496,"Marketing Executive, Content Sales",2022-04-09,Disney Media & Entertainment Distribution,"Moore Park, Australia",https://jobs.disneycareers.com/job/moore-park/marketing-executive-content-sales/391/25386102496,2022-04-26
391,20143592448,Ad Operations Executive,2022-04-10,Disney Media & Entertainment Distribution,"Moore Park, Australia",https://jobs.disneycareers.com/job/moore-park/ad-operations-executive/391/20143592448,2022-05-09
391,26469540640,"Parks Food & Beverage Busser - Part Time - $1,000 Hiring Bonus",2022-04-10,Disneyland Resort,"Anaheim, California, United States",https://jobs.disneycareers.com/job/anaheim/parks-food-and-beverage-busser-part-time-1-000-hiring-bonus/391/26469540640,-
391,26992390832,"Senior Manager, Digital Accounts Management",2022-04-10,Disney Media & Entertainment Distribution,"Moore Park, Australia",https://jobs.disneycareers.com/job/moore-park/senior-manager-digital-accounts-management/391/26992390832,-
391,27032698496,WDI Color and Paint Internship (Orlando) - Summer/Fall 2022,2022-04-10,Walt Disney Imagineering,"Orlando, Florida, United States / Lake Buena Vista, Florida, United States",https://jobs.disneycareers.com/job/orlando/wdi-color-and-paint-internship-orlando-summer-fall-2022/391/27032698496,2022-05-14
391,26994281984,STAGE - ASSISTANT(E) COMMUNICATION (F/H),2022-04-11,Disney Media & Entertainment Distribution,"Paris, France",https://jobs.disneycareers.com/job/paris/stage-assistant-e-communication-f-h/391/26994281984,2022-05-04
391,27077496880,Staff Coordinator,2022-04-11,The Walt Disney Studios,"Burbank, California, United States",https://jobs.disneycareers.com/job/burbank/staff-coordinator/391/27077496880,-
391,27082386416,Senior Production Accountant,2022-04-11,General Entertainment Content,"Burbank, California, United States",https://jobs.disneycareers.com/job/burbank/senior-production-accountant/391/27082386416,2022-05-14
391,27088782608,WDI Project Coordination Internship (Glendale) – Summer/Fall 2022,2022-04-11,Walt Disney Imagineering,"Glendale, California, United States",https://jobs.disneycareers.com/job/glendale/wdi-project-coordination-internship-glendale-summer-fall-2022/391/27088782608,2022-05-10
391,27103436176,Records & Information (RIM) Manager,2022-04-11,The Walt Disney Company (Corporate),"Burbank, California, United States",https://jobs.disneycareers.com/job/burbank/records-and-information-rim-manager/391/27103436176,2022-05-09
391,23385116672,"Manager, Design System",2022-04-12,Disney Media & Entertainment Distribution,"Los Angeles, California, United States / New York, New York, United States",https://jobs.disneycareers.com/job/los-angeles/manager-design-system/391/23385116672,-
391,26410631728,"Manager, Design System",2022-04-12,Disney Media & Entertainment Distribution,"Seattle, Washington, United States / Bristol, Connecticut, United States",https://jobs.disneycareers.com/job/seattle/manager-design-system/391/26410631728,-
391,26699601072,"Senior Manager, Financial Systems",2022-04-12,The Walt Disney Company (Corporate),"Glendale, California, United States",https://jobs.disneycareers.com/job/glendale/senior-manager-financial-systems/391/26699601072,2022-04-30
391,27150046384,Multicultural Marketing Strategy Associate,2022-04-12,"Parks, Experiences and Products","Celebration, Florida, United States",https://jobs.disneycareers.com/job/celebration/multicultural-marketing-strategy-associate/391/27150046384,2022-04-28
391,27155014208,"Vacation Club Guide-Timeshare Sales, Disney Vacation Club",2022-04-12,"Aulani, A Disney Resort & Spa","Kapolei, Hawaii, United States",https://jobs.disneycareers.com/job/kapolei/vacation-club-guide-timeshare-sales-disney-vacation-club/391/27155014208,-
391,27155014240,"Vacation Club Guide-Timeshare Sales, Disney Vacation Club",2022-04-12,"Parks, Experiences and Products","Anaheim, California, United States",https://jobs.disneycareers.com/job/anaheim/vacation-club-guide-timeshare-sales-disney-vacation-club/391/27155014240,-
391,27155015808,Show Electronic Engineer (Imaging Engineer),2022-04-12,Walt Disney Imagineering,"Orlando, Florida, United States / Lake Buena Vista, Florida, United States",https://jobs.disneycareers.com/job/orlando/show-electronic-engineer-imaging-engineer/391/27155015808,-
391,27168034960,Junior Designer,2022-04-13,Disney Media & Entertainment Distribution,"Melbourne, Australia",https://jobs.disneycareers.com/job/melbourne/junior-designer/391/27168034960,-
391,27200312192,Streaming Media Assistant,2022-04-13,Disney Streaming,"New York, New York, United States / San Francisco, California, United States",https://jobs.disneycareers.com/job/new-york/streaming-media-assistant/391/27200312192,2022-05-03
391,27211199744,Senior IT Auditor,2022-04-13,The Walt Disney Company (Corporate),"Glendale, California, United States",https://jobs.disneycareers.com/job/glendale/senior-it-auditor/391/27211199744,2022-05-06
391,12128248944,"Captain, Table Service Restaurants (fine dining)",2022-04-14,Shanghai Disney Resort,"Shanghai, Mainland China",https://jobs.disneycareers.com/job/shanghai/captain-table-service-restaurants-fine-dining/391/12128248944,2022-05-09
391,26156951712,"Ingénieur Etude de Prix / Quantity Surveyor H/F, CDIC",2022-04-14,Disneyland Paris,"Marne-la-Vallée, France",https://jobs.disneycareers.com/job/marne-la-vallee/ingenieur-etude-de-prix-quantity-surveyor-h-f-cdic/391/26156951712,2022-04-30
391,26200510976,Chef de Partie,2022-04-14,Shanghai Disney Resort,"Shanghai, Mainland China",https://jobs.disneycareers.com/job/shanghai/chef-de-partie/391/26200510976,2022-05-09
391,27266426752,Senior Executive Assistant,2022-04-14,"Parks, Experiences and Products","Orlando, Florida, United States / Lake Buena Vista, Florida, United States",https://jobs.disneycareers.com/job/orlando/senior-executive-assistant/391/27266426752,2022-04-28
391,27266426816,PH- Associate Environmental Fabrication Designer,2022-04-14,Walt Disney Imagineering,"Orlando, Florida, United States / Lake Buena Vista, Florida, United States",https://jobs.disneycareers.com/job/orlando/ph-associate-environmental-fabrication-designer/391/27266426816,-
391,27272804544,PH-Graphic Fabrication Designer,2022-04-14,Walt Disney Imagineering,"Orlando, Florida, United States / Lake Buena Vista, Florida, United States",https://jobs.disneycareers.com/job/orlando/ph-graphic-fabrication-designer/391/27272804544,-
391,4534138000,Cook,2022-04-17,Shanghai Disney Resort,"Shanghai, Mainland China",https://jobs.disneycareers.com/job/shanghai/cook/391/4534138000,2022-05-09
391,26156951968,Senior Art Director- CPGP,2022-04-17,"Parks, Experiences and Products","Celebration, Florida, United States",https://jobs.disneycareers.com/job/celebration/senior-art-director-cpgp/391/26156951968,2022-05-14
391,26156952000,Senior Copywriter - CPGP,2022-04-17,"Parks, Experiences and Products","Celebration, Florida, United States",https://jobs.disneycareers.com/job/celebration/senior-copywriter-cpgp/391/26156952000,-
